lens_make,lens_model,lens_type,lens_crop_factor,lens_dist_model,lens_dist_focal,lens_dist_a,lens_dist_b,lens_dist_c,lens_dist_k1,lens_dist_k2,lens_dist_k3,Corner Radius
Canon,Canon EF 28-135mm f/3.5-5.6 IS USM,,1,ptlens,85,0,0.009196,0,,,,0.2545095018
Canon,Canon EF 28-135mm f/3.5-5.6 IS USM,,1,ptlens,100,0,0.008576,0,,,,0.2163330765
Canon,Canon EF 28-135mm f/3.5-5.6 IS USM,,1,ptlens,117,0,0.010397,0,,,,0.1849000654
Canon,Canon EF 28-135mm f/3.5-5.6 IS USM,,1,ptlens,135,0,0.010546,0,,,,0.1602467234
Canon,Canon EF 28-300mm f/3.5-5.6L IS USM,,1,ptlens,28,0.013512,-0.044163,0,,,,0.7726181305
Canon,Canon EF 28-300mm f/3.5-5.6L IS USM,,1,ptlens,35,0.008844,-0.01773,0,,,,0.6180945044
Canon,Canon EF 28-300mm f/3.5-5.6L IS USM,,1,ptlens,40,0,0.008261,0,,,,0.5408326913
Canon,Canon EF 28-300mm f/3.5-5.6L IS USM,,1,ptlens,60,0,0.012093,0,,,,0.3605551275
Canon,Canon EF 28-300mm f/3.5-5.6L IS USM,,1,ptlens,70,0,0.012516,0,,,,0.3090472522
Canon,Canon EF 28-300mm f/3.5-5.6L IS USM,,1,ptlens,105,0,0.009065,0,,,,0.2060315015
Canon,Canon EF 28-300mm f/3.5-5.6L IS USM,,1,ptlens,135,0,0.008196,0,,,,0.1602467234
Canon,Canon EF 28-300mm f/3.5-5.6L IS USM,,1,ptlens,200,0,0.007773,0,,,,0.1081665383
Canon,Canon EF 28-300mm f/3.5-5.6L IS USM,,1,ptlens,300,0,0.008177,0,,,,0.07211102551
Canon,Canon EF 28-70mm f/2.8L USM,,1.611,ptlens,28,-0.001744,0.000657,0,,,,0.4795891561
Canon,Canon EF 28-70mm f/2.8L USM,,1.611,ptlens,32,0.003058,-0.013232,0,,,,0.4196405116
Canon,Canon EF 28-70mm f/2.8L USM,,1.611,ptlens,35,-0.004696,0.007063,0,,,,0.3836713249
Canon,Canon EF 28-70mm f/2.8L USM,,1.611,ptlens,39,0.00011,-0.002166,0,,,,0.3443204198
Canon,Canon EF 28-70mm f/2.8L USM,,1.611,ptlens,44,-0.001271,0.001861,0,,,,0.3051930993
Canon,Canon EF 28-70mm f/2.8L USM,,1.611,ptlens,50,-0.006466,0.014612,0,,,,0.2685699274
Canon,Canon EF 28-70mm f/2.8L USM,,1.611,ptlens,60,-0.001227,0.003723,0,,,,0.2238082728
Canon,Canon EF 28-70mm f/2.8L USM,,1.611,ptlens,70,-0.001929,0.005136,0,,,,0.1918356624
Canon,Canon EF 28-80mm f/3.5-5.6 USM IV,,1.613,ptlens,28,0,-0.00843,0,,,,0.4789945012
Canon,Canon EF 28-80mm f/3.5-5.6 USM IV,,1.613,ptlens,32,0.01228,-0.05159,0.05533,,,,0.4191201886
Canon,Canon EF 28-80mm f/3.5-5.6 USM IV,,1.613,ptlens,37,0,-0.00316,0,,,,0.3624823252
Canon,Canon EF 28-80mm f/3.5-5.6 USM IV,,1.613,ptlens,63,0,0.0017,0,,,,0.212886445
Canon,Canon EF 28-80mm f/3.5-5.6 USM IV,,1.613,ptlens,80,0,0.00491,0,,,,0.1676480754
Canon,Canon EF 28mm f/1.8,,1.611,ptlens,28,0.001175,-0.006534,0,,,,0.4795891561
Canon,Canon EF 28mm f/1.8 USM,,1,ptlens,28,0.018,-0.048,0.019,,,,0.7726181305
Canon,Canon EF 28mm f/2.8,,1.611,ptlens,28,0.003003,-0.011213,0,,,,0.4795891561
Canon,Canon EF 300mm f/2.8L IS II USM,,1,poly3,300,,,,0.00083,,,0.07211102551
Canon,Canon EF 300mm f/2.8L IS II USM,,1.6,poly3,300,,,,-0.00038,,,0.04506939094
Canon,Canon EF 300mm f/2.8L IS II USM + EF 1.4× ext. III,,1,poly3,420,,,,-0.00479,,,0.05150787536
Canon,Canon EF 300mm f/2.8L IS II USM + EF 1.4× ext. III,,1.6,poly3,420,,,,-0.00092,,,0.0321924221
Canon,Canon EF 300mm f/2.8L IS II USM + EF 2.0× ext. III,,1,poly3,600,,,,-0.00264,,,0.03605551275
Canon,Canon EF 300mm f/2.8L IS II USM + EF 2.0× ext. III,,1.6,poly3,600,,,,-0.00067,,,0.02253469547
Canon,Canon EF 300mm f/4L IS USM,,1.605,ptlens,300,-0.00271,0.00945,-0.00645,,,,0.04492898786
Canon,Canon EF 300mm f/4L IS USM + 1.4× ext.,,1.605,poly3,420,,,,-0.00134,,,0.03209213418
Canon,Canon EF 35-105mm f/3.5-4.5,,1.611,ptlens,35,0.003118,-0.013401,0,,,,0.3836713249
Canon,Canon EF 35-105mm f/3.5-4.5,,1.611,ptlens,45,0.003039,-0.007423,0,,,,0.2984110305
Canon,Canon EF 35-105mm f/3.5-4.5,,1.611,ptlens,60,0.001309,0.000252,0,,,,0.2238082728
Canon,Canon EF 35-105mm f/3.5-4.5,,1.611,ptlens,82,0.001085,0.002214,0,,,,0.1637621509
Canon,Canon EF 35-105mm f/3.5-4.5,,1.611,ptlens,105,0.000575,0.003503,0,,,,0.1278904416
Canon,Canon EF 35-105mm f/4.5-5.6,,1.611,ptlens,35,-0.00202,0.00115,-0.00877,,,,0.3836713249
Canon,Canon EF 35-105mm f/4.5-5.6,,1.611,ptlens,48,0.00206,-0.00395,0.00411,,,,0.2797603411
Canon,Canon EF 35-105mm f/4.5-5.6,,1.611,ptlens,57,-0.00649,0.02493,-0.01898,,,,0.2355876556
Canon,Canon EF 35-105mm f/4.5-5.6,,1.611,ptlens,62,-0.01071,0.01858,0.00875,,,,0.2165886511
Canon,Canon EF 35-105mm f/4.5-5.6,,1.611,ptlens,68,-0.02787,0.07826,-0.05368,,,,0.1974778878
Canon,Canon EF 35-105mm f/4.5-5.6,,1.611,ptlens,72,-0.03351,0.12504,-0.14162,,,,0.186506894
Canon,Canon EF 35-105mm f/4.5-5.6,,1.611,ptlens,76,0.00385,-0.0011,-0.00351,,,,0.1766907417
Canon,Canon EF 35-105mm f/4.5-5.6,,1.611,ptlens,80,0.01832,-0.05905,0.07657,,,,0.1678562046
Canon,Canon EF 35-105mm f/4.5-5.6,,1.611,ptlens,87,-0.03411,0.14077,-0.17993,,,,0.154350533
Canon,Canon EF 35-105mm f/4.5-5.6,,1.611,ptlens,98,0.0103,-0.03257,0.02861,,,,0.1370254732
